
Categoria: Ação
| Jogo:Archero| Categoria:Ação| Avaliação:4.5 |

Categoria: Cartas
| Jogo:Buraco| Categoria:Cartas| Avaliação:4.5 |

Categoria: Ação
| Jogo:Fúria Sniper| Categoria:Ação| Avaliação:4.2 |
| Jogo:Sniper 3D| Categoria:Ação| Avaliação:4.5 |
| Jogo:Super Mario Run| Categoria:Ação| Avaliação:3.8 |

Categoria: Cartas
| Jogo:FreeCell| Categoria:Cartas| Avaliação:4.5 |
| Jogo:Paciência| Categoria:Cartas| Avaliação:4.4 |
| Jogo:Solitário| Categoria:Cartas| Avaliação:4.7 |

Categoria: Corrida
| Jogo:Correndo no carro| Categoria:Corrida| Avaliação:3.9 |
| Jogo:Corrida de Moto Real 3D| Categoria:Corrida| Avaliação:4.2 |
| Jogo:Corrida de Rua 3D| Categoria:Corrida| Avaliação:4.4 |
| Jogo:Real Racing 3| Categoria:Corrida| Avaliação:4.5 |

Categoria: Esportes
| Jogo:Basketball| Categoria:Esportes| Avaliação:4.4 |
| Jogo:Estalido Tênis 3D| Categoria:Esportes| Avaliação:4.4 |
| Jogo:Fifa Futebol| Categoria:Esportes| Avaliação:4.1 |
| Jogo:Futebol| Categoria:Esportes| Avaliação:2.8 |
| Jogo:Pes 2019| Categoria:Esportes| Avaliação:4.2 |
| Jogo:Snowboard Master 3D| Categoria:Esportes| Avaliação:4.3 |

Categoria: Ação
| Jogo:Temple Run 2| Categoria:Ação| Avaliação:4.4 |

Categoria: Estratégia
| Jogo:Atirador de Bolhas| Categoria:Estratégia| Avaliação:4.4 |
| Jogo:Crazy Chef| Categoria:Estratégia| Avaliação:4.6 |
| Jogo:Influence| Categoria:Estratégia| Avaliação:4.0 |
| Jogo:Narcos| Categoria:Estratégia| Avaliação:4.6 |

Categoria: Esportes
| Jogo:The Journey Jogo de surf| Categoria:Esportes| Avaliação:4.0 |

Categoria: Palavras
| Jogo:Caça-palavras| Categoria:Palavras| Avaliação:4.5 |
| Jogo:CodyCross| Categoria:Palavras| Avaliação:4.5 |
| Jogo:Palavras Conectadas| Categoria:Palavras| Avaliação:4.7 |
| Jogo:Pilha Palavras| Categoria:Palavras| Avaliação:4.7 |
| Jogo:Words of Wonders| Categoria:Palavras| Avaliação:4.6 |

Categoria: Quebra-cabeça
| Jogo:Block Puzzle| Categoria:Quebra-cabeça| Avaliação:4.5 |
| Jogo:Energy| Categoria:Quebra-cabeça| Avaliação:4.7 |
| Jogo:Jewels clássico | Categoria:Quebra-cabeça| Avaliação:4.5 |
| Jogo:Spot Conect| Categoria:Quebra-cabeça| Avaliação:4.5 |
| Jogo:Sudoku| Categoria:Quebra-cabeça| Avaliação:4.8 |

Categoria: RPG
| Jogo:Evil Lands| Categoria:RPG| Avaliação:4.4 |
| Jogo:Exiled Kingdoms| Categoria:RPG| Avaliação:4.6 |
| Jogo:Nova Fantasia | Categoria:RPG| Avaliação:4.1 |
| Jogo:Order & Chaos 2| Categoria:RPG| Avaliação:3.9 |
| Jogo:Vampire’s Fall| Categoria:RPG| Avaliação:4.6 |

Categoria: Estratégia
| Jogo:Xadrez| Categoria:Estratégia| Avaliação:4.2 |
